Economy,DB Year,Ease of doing business rank
Afghanistan,2020,173
Albania,2020,82
Algeria,2020,157
Angola,2020,177
Antigua and Barbuda,2020,113
Argentina,2020,126
Armenia,2020,47
Australia,2020,14
Austria,2020,27
Azerbaijan,2020,28
"Bahamas, The",2020,119
Bahrain,2020,43
Bangladesh,2020,168
Bangladesh Chittagong,2020,
Bangladesh Dhaka,2020,
Barbados,2020,128
Belarus,2020,49
Belgium,2020,46
Belize,2020,135
Benin,2020,149
Bhutan,2020,89
Bolivia,2020,150
Bosnia and Herzegovina,2020,90
Botswana,2020,87
Brazil,2020,124
Brazil Rio de Janeiro,2020,
Brazil São Paulo,2020,
Brunei Darussalam,2020,66
Bulgaria,2020,61
Burkina Faso,2020,151
Burundi,2020,166
Cabo Verde,2020,137
Cambodia,2020,144
Cameroon,2020,167
Canada,2020,23
Central African Republic,2020,184
Chad,2020,182
Chile,2020,59
China,2020,32
China Beijing,2020,
China Shanghai,2020,
Colombia,2020,67
Comoros,2020,160
"Congo, Dem. Rep.",2020,183
"Congo, Rep.",2020,180
Costa Rica,2020,74
Côte d'Ivoire,2020,110
Croatia,2020,51
Cyprus,2020,54
Czech Republic,2020,41
Denmark,2020,4
Djibouti,2020,112
Dominica,2020,111
Dominican Republic,2020,115
Ecuador,2020,129
"Egypt, Arab Rep.",2020,114
El Salvador,2020,91
Equatorial Guinea,2020,178
Eritrea,2020,189
Estonia,2020,18
Eswatini,2020,121
Ethiopia,2020,159
Fiji,2020,102
Finland,2020,20
France,2020,33
Gabon,2020,169
"Gambia, The",2020,155
Georgia,2020,7
Germany,2020,22
Ghana,2020,118
Greece,2020,79
Grenada,2020,146
Guatemala,2020,96
Guinea,2020,156
Guinea-Bissau,2020,174
Guyana,2020,134
Haiti,2020,179
Honduras,2020,133
"Hong Kong SAR, China",2020,3
Hungary,2020,52
Iceland,2020,26
India,2020,62
India Delhi,2020,
India Mumbai,2020,
Indonesia,2020,73
Indonesia Jakarta,2020,
Indonesia Surabaya,2020,
"Iran, Islamic Rep.",2020,127
Iraq,2020,172
Ireland,2020,24
Israel,2020,35
Italy,2020,58
Jamaica,2020,71
Japan,2020,30
Japan Osaka,2020,
Japan Tokyo,2020,
Jordan,2020,75
Kazakhstan,2020,25
Kenya,2020,56
Kiribati,2020,164
"Korea, Rep.",2020,5
Kosovo,2020,57
Kuwait,2020,83
Kyrgyz Republic,2020,80
Lao PDR,2020,154
Latvia,2020,19
Lebanon,2020,143
Lesotho,2020,122
Liberia,2020,175
Libya,2020,186
Liechtenstein,2020,
Lithuania,2020,11
Luxembourg,2020,72
Madagascar,2020,161
Malawi,2020,109
Malaysia,2020,12
Maldives,2020,147
Mali,2020,148
Malta,2020,88
Marshall Islands,2020,153
Mauritania,2020,152
Mauritius,2020,13
Mexico,2020,60
Mexico Mexico City,2020,
Mexico Monterrey,2020,
"Micronesia, Fed. Sts.",2020,158
Moldova,2020,48
Mongolia,2020,81
Montenegro,2020,50
Morocco,2020,53
Mozambique,2020,138
Myanmar,2020,165
Namibia,2020,104
Nepal,2020,94
Netherlands,2020,42
New Zealand,2020,1
Nicaragua,2020,142
Niger,2020,132
Nigeria,2020,131
Nigeria Kano,2020,
Nigeria Lagos,2020,
North Macedonia,2020,17
Norway,2020,9
Oman,2020,68
Pakistan,2020,108
Pakistan Karachi,2020,
Pakistan Lahore,2020,
Palau,2020,145
Panama,2020,86
Papua New Guinea,2020,120
Paraguay,2020,125
Peru,2020,76
Philippines,2020,95
Poland,2020,40
Portugal,2020,39
Puerto Rico,2020,65
Qatar,2020,77
Romania,2020,55
Russian Federation,2020,29
Russian Federation Moscow,2020,
Russian Federation Saint Petersburg,2020,
Rwanda,2020,38
Samoa,2020,98
San Marino,2020,92
São Tomé and Príncipe,2020,170
Saudi Arabia,2020,63
Senegal,2020,123
Serbia,2020,44
Seychelles,2020,100
Sierra Leone,2020,163
Singapore,2020,2
Slovak Republic,2020,45
Slovenia,2020,37
Solomon Islands,2020,136
Somalia,2020,190
South Africa,2020,84
South Sudan,2020,185
Spain,2020,31
Sri Lanka,2020,99
St. Kitts and Nevis,2020,139
St. Lucia,2020,93
St. Vincent and the Grenadines,2020,130
Sudan,2020,171
Suriname,2020,162
Sweden,2020,10
Switzerland,2020,36
Syrian Arab Republic,2020,176
"Taiwan, China",2020,15
Tajikistan,2020,106
Tanzania,2020,141
Thailand,2020,21
Timor-Leste,2020,181
Togo,2020,97
Tonga,2020,103
Trinidad and Tobago,2020,105
Tunisia,2020,78
Turkey,2020,34
Uganda,2020,116
Ukraine,2020,64
United Arab Emirates,2020,16
United Kingdom,2020,8
United States,2020,6
United States Los Angeles,2020,
United States New York City,2020,
Uruguay,2020,101
Uzbekistan,2020,69
Vanuatu,2020,107
"Venezuela, RB",2020,188
Vietnam,2020,70
West Bank and Gaza,2020,117
"Yemen, Rep.",2020,187
Zambia,2020,85
Zimbabwe,2020,140
