"Domain Code","Domain","Area Code","Area","Element Code","Element","Item Code","Item","Year Code","Year","Unit","Value","Ranking","Flag","Flag Description"
"QCL","Crops and livestock products","41","China, mainland","5510","Production","15","Wheat","2022","2022","t","1.3772E8","1","A","Official figure"
"QCL","Crops and livestock products","100","India","5510","Production","15","Wheat","2022","2022","t","1.0774207E8","2","A","Official figure"
"QCL","Crops and livestock products","185","Russian Federation","5510","Production","15","Wheat","2022","2022","t","1.04233944E8","3","A","Official figure"
"QCL","Crops and livestock products","231","United States of America","5510","Production","15","Wheat","2022","2022","t","4.490232E7","4","A","Official figure"
"QCL","Crops and livestock products","10","Australia","5510","Production","15","Wheat","2022","2022","t","3.623747723E7","5","A","Official figure"
"QCL","Crops and livestock products","68","France","5510","Production","15","Wheat","2022","2022","t","3.463238E7","6","A","Official figure"
"QCL","Crops and livestock products","33","Canada","5510","Production","15","Wheat","2022","2022","t","3.4334787E7","7","A","Official figure"
"QCL","Crops and livestock products","165","Pakistan","5510","Production","15","Wheat","2022","2022","t","2.6208672E7","8","A","Official figure"
"QCL","Crops and livestock products","79","Germany","5510","Production","15","Wheat","2022","2022","t","2.25873E7","9","A","Official figure"
"QCL","Crops and livestock products","9","Argentina","5510","Production","15","Wheat","2022","2022","t","2.2150287E7","10","A","Official figure"
